repo	score	disk_kb	lang	stars	description
peterhellberg/brandy	8	613	C	10	Brandy Basic V Interpreter patched to compile under OS X
shritesh/brainfuck-rs-wasm	8	25	Rust	10	A Brainfuck interpreter written in Rust and compiled to WebAssembly
sviperll/argo	8	32	C	10	Pragmatic functional programming language
0xFACE/bbconsole	8	27	C	9	Linux console for BlueBasic (BASIC interpreter for CC2540 and CC2541 Bluetooth LE chips).
furuame/Pascal-Esque-Interpreter	8	48	C	9	P.E.I is a Pascal like interpreter implemented in C
andrewbuss/crisp	8	98	C	9	A C interpreter for a purely functional language, bolted to a very unsafe FFI
ekatz/sci	8	529	C	9	Sierra's Creative Interpreter
irori/clamb	8	11	C	9	Universal Lambda interpreter
lbsmith/Production-Basic	8	700	C	9	Business Basic interpreter loading/saving Thoroughbred Basic files
timshen91/Evil	8	240	C	9	Yet another Scheme interpreter
wernsey/Fiz	8	86	C	9	A small but functional interpreter for a Tcl-like language
aleksei-udalov/vm	8	24	C	8	A simple stack-based interpreter. Inspired by x86 assembly, forth, and java bytecode.
dslab-epfl/chef-symbex-lua	8	624	C	8	Lua interpreter modded to support symbolic execution
dyninc/js-number-crunching	8	117	C	8	Experiment to compare in-browser JS to other interpreters (and then some)
greezybacon/clox	8	493	C	8	Interpreter for the Lox language in C
hikarin/aquario	8	524	C	8	GC-oriented Lisp interpreter
kvverti/clavender	8	487	C	8	An implementation of the Lavender programming language in C.
liutgnu/asm-interpreter	8	42	C	8	An x86 assembly-like language interpreter
mkotha/bfi	8	146	C	8	A brainfuck interpreter on the C preprocessor
mousetail/CellTail	8	143	Rust	8	The cell tail language
naleksiev/fin	8	122	C	8	Scripting language.
ornata/6502	8	288	C	8	6502 interpreter
rinoldm/sbfi	8	22	C	8	Simple BrainFuck Interpreter written in C.
lkowalick/j-interpreter	8	2	C	8	A breakdown of Arthur Whitney's quickly drafted J interpreter implementation
stackluca/v3	8	146	C	8	a javascript interpreter
ushitora-anqou/simplinterp	8	5	C	8	A simple interpreter strongly inspired by https://youtu.be/JAtN0TGrNE4
aap/l15	8	23	C	7	A simple interpreter of LISP 1.5
borg323/jzip	8	877	C	7	Updated version of the Jzip 2.1 Z-Machine interpreter
DavidKinder/Windows-AGiliTy	8	877	C	7	Windows port of Robert Masenten's AGiliTY AGT interpreter.
hellerve-project-based-learning/clox	8	42	C	7	My take on Crafting Interpreters
ianmaclarty/gclua	8	392	C	7	A modified lua-5.1.5 interpreter that uses libgc
Liutos/liutscm	8	443	C	7	An interpreter for a subset of Scheme.
luser-dr00g/sexp.c	8	78	C	7	A very primitive LISP interpreter
MitchBradley/OBPclassTinyForth	8	14	C	7	Extremely rudimentary and incomplete Forth interpreter for teaching the basic ideas of Forth.
nablaa/prolog-interpreter-c	8	51	C	7	Prolog interpreter in C
RickCarlino/WASM-Forth	8	32	C	7	A sort-of-kind-of-working Forth interpreter that runs in the browser using Web Assembly (WASM). PRs welcome.
rinat-enikeev/Small-C-Interpreter	8	612	C	7	C, interpreter of subset of C language, written in С. 
shekohex/jax	8	53	C	7	minimal C-interpreter to play with. for learning purpose
SimonKagstrom/sarien-j2me	8	696	C	7	A port of the Sarien AGI interpreter to J2ME phones, using Cibyl
sunzx/TarielBASIC	8	30	C	7	A portable BASIC interpreter written in C.
zhujinliang/tclInterpreter	8	128	C	7	A interpreter that can interpret simple tcl language
andrewchambers/janet-ll	8	232	C	6	A low level rust crate providing bindings to the janet interpreter.
andrix/tinyruby	8	120	C	6	Homework for the University to implement an small but functional Ruby Interpreter - a very Work in Progress
angrykoala/mindfck	8	310	Go	6	A language to transpile to brainfuck
catseye/FBBI	8	180	C	6	MIRROR of https://codeberg.org/catseye/FBBI : The Flaming Bovine Befunge-98 Interpreter.
chrizel/moelisp	8	55	C	6	a toy lisp interpreter
danthelion/selyp	8	35	C	6	A Lisp interpreter implemented in C.
