repo	score	disk_kb	lang	stars	archived	description
instantiator/openbook-v2	5	13285	C	1		A 3D interactive fiction interpreter built in 2005...
mdbarr/vcsi	5	7571	C	1		Vaguely Coherent Scheme Interpreter - A R5RS Scheme implementation in C with a custom module system.
Pixilate/PyShell27	5	10909	C	1		Python27 interpreter wrapper for the 3DS
SherlockLee/BufferModeForInterpreter	5	5976	C	1		
SherlockLee/InterpreterForK0T	5	6824	C	1		
rust-unofficial/awesome-rust	4	8591	Rust	58054		A curated list of Rust code and resources.
acornjs/acorn	4	6441	JavaScript	11403		A small, fast, JavaScript-based JavaScript parser
clojure/clojure	4	19029	Java	11012		The Clojure programming language
bellard/quickjs	4	12760	C	10761		Public repository of the QuickJS Javascript Engine.
rust-bakery/nom	4	10800	Rust	10429		Rust parser combinator framework
rust-bakery/nom	4	10800	Rust	10429		Rust parser combinator framework
lua/lua	4	12262	C	10093		A copy of the Lua development repository, as seen by the Lua team. Mirrored irregularly. All communication should be thr
clojure/clojurescript	4	18911	Clojure	9393		Clojure to JS compiler
google/pprof	4	6551	Go	9225		pprof is a tool for visualization and analysis of profiling data
purescript/purescript	4	13808	Haskell	8876		A strongly-typed language that compiles to JavaScript
mxgmn/MarkovJunior	4	14975	C#	8136		Probabilistic language based on pattern matching and constraint propagation, 153 examples
wren-lang/wren	4	8050	Wren	8047		The Wren Programming Language. Wren is a small, fast, class-based concurrent scripting language.
wren-lang/wren	4	8050	Wren	8047		The Wren Programming Language. Wren is a small, fast, class-based concurrent scripting language.
elm/compiler	4	10255	Haskell	7797		Compiler for Elm, a functional language for reliable webapps.
carp-lang/Carp	4	12121	Haskell	5960		A statically typed lisp, without a GC, for real-time applications.
hylang/hy	4	8012	Python	5427		A dialect of Lisp that's embedded in Python
ballercat/walt	4	19798	JavaScript	4639		:zap: Walt is a JavaScript-like syntax for WebAssembly text format :zap:
babashka/babashka	4	12319	Clojure	4554		Native, fast starting Clojure interpreter for scripting
asmjit/asmjit	4	10224	C++	4539		Low-latency machine code generation
mint-lang/mint	4	8588	Crystal	4251		🍃 A refreshing programming language for the front-end web.
GetFirefly/firefly	4	14293	Rust	3585	yes	An alternative BEAM implementation, designed for WebAssembly
goby-lang/goby	4	8340	Go	3511	yes	Goby - Yet another programming language written in Go
rust-lang/rls	4	9415	Rust	3500	yes	Repository for the Rust Language Server (aka RLS)
lalrpop/lalrpop	4	11963	Rust	3486		LR(1) parser generator for Rust
grain-lang/grain	4	18905	Reason	3459		The Grain compiler toolchain and CLI. Home of the modern web staple. 🌾
jank-lang/jank	4	17862	C++	3286		The native Clojure dialect hosted on LLVM with seamless C++ interop.
dart-lang/language	4	5987	TeX	2921		Design of the Dart language
bpython/bpython	4	9813	Python	2765		bpython - A fancy curses interface to the Python interactive interpreter
typelead/eta	4	11304	Haskell	2633		The Eta Programming Language, a dialect of Haskell on the JVM
keystone-engine/keystone	4	12495	C++	2606		Keystone assembler framework: Core (Arm, Arm64, Hexagon, Mips, PowerPC, Sparc, SystemZ & X86) + bindings
rust-lang/rustc_codegen_cranelift	4	7080	Rust	2077		Cranelift based backend for rustc
tinkerpop/gremlin	4	13304	Java	1952		A Graph Traversal Language (no longer active - see Apache TinkerPop)
hylo-lang/hylo	4	12592	Swift	1540		The Hylo programming language
dotnet/llilc	4	7017	C++	1516	yes	This repo contains LLILC, an LLVM based compiler for .NET Core. It includes a set of cross-platform .NET code generation
rust-lang/rust-playground	4	7924	Rust	1412		The Rust Playground
gfngfn/SATySFi	4	8123	OCaml	1247		A statically-typed, functional typesetting system
elonlit/Genesis	4	19324	Java	1202		God's actual programming language.
eholk/harlan	4	6405	Scheme	1192		A language for GPU computing.
rust-lang/rustc_codegen_gcc	4	8875	Rust	1141		libgccjit AOT codegen for rustc
hirrolot/metalang99	4	12515	C	1073		Full-blown preprocessor metaprogramming
mlochbaum/BQN	4	11742	BQN	1064		An APL-like programming language
beanshell/beanshell	4	16099	Java	935		Beanshell scripting language
egison/egison	4	11645	Haskell	926		The Egison Programming Language
nascentxyz/pyrometer	4	10621	Rust	802		A tool for analyzing the security and parameters of a solidity smart contract
PlutoLang/Pluto	4	6659	C++	685		A superset of Lua 5.5 with a focus on general-purpose programming.
ark-lang/ark	4	16136	Go	684	yes	A compiled systems programming language written in Go using the LLVM framework
jasoncharnes/run.rb	4	9073	JavaScript	597		Run Ruby in the browser using WebAssembly
remko/waforth	4	8222	WebAssembly	587		Small but complete dynamic Forth Interpreter/Compiler for and in WebAssembly
HaxeFoundation/neko	4	19013	C	583		The Neko Virtual Machine
softdevteam/grmtools	4	7265	Rust	574		Rust grammar tool libraries and binaries
anoma/juvix	4	11933	Haskell	510		A language for intent-centric and declarative decentralised applications
gren-lang/compiler	4	13036	Haskell	498		Compiler for the Gren programming language
gosu-lang/gosu-lang	4	19768	Gosu	472		The Gosu programming language
lys-lang/lys	4	5206	TypeScript	430		⚜︎ A language that compiles to WebAssembly
metawilm/cl-python	4	5526	Common Lisp	396		An implementation of Python in Common Lisp
cloudflare/cobweb	4	5775	COBOL	395		COBOL to WebAssembly compiler
Konstantin8105/c4go	4	6286	C	376		Transpiling C code to Go code
munificent/magpie	4	9972	Python	376		The Magpie programming language
vmware-labs/webassembly-language-runtimes	4	8083	Shell	367		Wasm Language Runtimes provides popular language runtimes (Ruby, Python, …) precompiled to WebAssembly that are tested f
mbrock/wisp	4	6150	JavaScript	305		Lisp in WebAssembly
mth/yeti	4	8080	Java	253		Functional programming language for JVM.
m4rw3r/chomp	4	7167	Rust	241		A fast monadic-style parser combinator designed to work on stable Rust.
covscript/covscript	4	6024	C++	232		Make Programming Easier
larcenists/larceny	4	19476	Scheme	212		Larceny Scheme implementation
BosqueLanguage/BosqueCore	4	6617	TypeScript	198		
radian-software/kalyn	4	10042	Haskell	163		⚗️ Self-hosting compiler from a Haskell-like Lisp directly to x86-64, from scratch.
dy/jz	4	15734	JavaScript	154		Plain JS to WASM compiler
stark-lang/stark	4	14313	C#	154		Main repository for the stark compiler frontend + vscode integration + language specs
ballerina-platform/nballerina	4	9948	Ballerina	143		Ballerina compiler that generates native executables.
calcit-lang/calcit	4	5671	Rust	139		Indentation-based ClojureScript dialect in Rust and compiling to JavaScript ES Modules
RoPi0n/mash-lang	4	34276	Pascal	94		Untyped, lightweight, crossplatform OOP language.
dylanbeattie/rockstar	4	2092	JavaScript	88		The Rockstar programming language specification
Open-Turing-Project/OpenTuring	4	194449	C	83		An open source version of the Windows Turing interpreter. Features speed improvements and new features.
dibsonthis/Vortex	4	414003	C	82		Vortex Programming Language
Superstar64/aith	4	1817	Haskell	80		Low level toy functional programming language with linear types, first class inline functions, levity polymorphism and r
sacalon/sacalon	4	1858	Python	79		Sacalon is a general purpose and open source programming language designed to build optimal, maintainable, reliable and 
mingodad/squilu	4	74220	C	79		A scripting language that accepts a subset of javascript and C/C++ 
SanderSpies/ocaml	4	164392	OCaml	79		WebAssembly backend for OCaml
Draco-lang/Language-suggestions	4	2168		77		Collecting ideas for a new .NET language that could replace C#
alimpfard/citron	4	37092	C	72		General purpose programming language (mainly for unix-like systems)
uniconproject/unicon	4	37198	C	71		The Unicon Programming Language
blakemcbride/LISPF4	4	77538	C	68		InterLisp interpreter
philipaconrad/mini-vm	4	1074	C	68	yes	A small, register-based virtual machine (bytecode interpreter) in C. [MIT License]
cfriedt/jamvm	4	1382	C	67		clone of git://git.code.sf.net/p/jamvm/code for experimental branches
kagsa/kagsa	4	4727	Python	63		KAGSA PROGRAMMING LANGUAGE
captbaritone/eel-wasm	4	1526	TypeScript	60		Compile Nullsoft's EEL code to Web Assembly
munificent/lark	4	656	Java	59	yes	The Lark programming language.
lambdageek/unbound-generics	4	305	Haskell	58		Specify variable binding in syntax trees using GHC.Generics (reimplementation of Unbound)
vmchale/kempe	4	4712	Haskell	58		Kempe is a compiled stack-based language
picrin-scheme/libpicrin	4	3041	C	56	yes	Super Tiny Scheme Interpreter for Freestanding Environment
rafi16jan/micropython-wasm	4	1235	JavaScript	54		A WebAssembly module built from the official MicroPython port
StunxFS/weld	4	4092	V	53		A general-purpose programming language, focused on simplicity, safety and stability.
codedot/lambda	4	530	JavaScript	51		Macro Lambda Calculus
jasisz/aver	4	36268	Rust	51		Aver is a programming language for auditable AI-written code
BartJongejan/Bracmat	4	24135	C	50		Pattern matching language for transforming complex tree-structured data (strings, XML, JSON, algebraic expressions). Bui
Maximilian-Winter/Bite-Programming-Language	4	3475	C#	50		Bite is a dynamically typed programming language. Embedded in C#
area9innovation/wase	4	4480	WebAssembly	46		WebAssembly made easy
christophwille/dotnet-opa-wasm	4	3136	C#	45		Call Open Policy Agent (OPA) policies in WASM (Web Assembly) from .NET Core
ThetaLang/Theta	4	56897	C++	43		θ A statically typed, functional programming language that compiles to WebAssembly  
tuqqu/go-parser	4	276	PHP	43		Golang parser written in PHP
UberPyro/prowl	4	27566	OCaml	43		WIP stack language that uses regex for control flow
aalhour/PyCOOLC	4	2076	Python	40		:snake: :cool: Compiler for the COOL programming language targeting the MIPS 32-bit architecture, in Python 3
proebsting/goaldi	4	3758	Go	37		
cucumber-attic/bool	4	1855	C	36	yes	Cross-platform boolean expression parser and interpreter
Rhovas/Interpreter	4	1425	Kotlin	36		The interpreter for Rhovas, a programming language for API design and enforcement.
TheRealMichaelWang/cish	4	1039	C	35		Go + Generics + Sum Types
ycaseau/CLAIRE4	4	29819	Go	34		CLAIRE programming language Version 4 (2021)
OCamlPro/ocaml-solidity	4	4235	OCaml	33		Ocaml-solidity provides a Solidity parser and typechecker
wrapl/minilang	4	86513	C	32		A mini language used for the Rabs build system and within Wrapl.
batterseapower/ansi-wl-pprint	4	337	Haskell	31		The Wadler/Leijen Pretty Printer for colored ANSI terminal output
qorf/quorum-language	4	761569	C	28		The primary repository for the Quorum Programming Language
olleharstedt/pholyglot	4	1312	OCaml	23		Experiment with PHP+C polyglot snippets and a transpiler written in OCaml
Wodan58/Moy	4	3109	C	23		Stackless Joy
ourovoros-io/charcoal	4	3946	Rust	22		A Solidity to Sway translator written in Rust.
bait-lang/bait	4	1485	Shell	22		Simple yet powerful programming language. Work in progress.
rsashka/newlang	4	27516	C++	19		A programming language with a simple no-keyword syntax for computing tensors and rational numbers with unlimited precisi
POWER-KI/POWER-KI	4	1387712	C++	17		POWER-KI programming language for Intelligent Applications (IA) 
swtwsk/vinci-lang	4	1221	Haskell	15		A proof-of-concept compiler targeting SPIR-V for a toy ML functional shading language
hostilefork/replpad-js	4	1306	JavaScript	14		Interactive Web Console for Rebol language (Ren-C branch)
pannous/wruby	4	59248	C	14		Web Ruby : ruby running in the browser via webassembly
kztk-m/sparcl	4	364	Haskell	12		Copied from https://bitbucket.org/kztk/partially-reversible-lang-impl/
seanjensengrey/picolisp	4	46616	C	12		Minimalist-lisp interpreter implementation for UNIX-like systems.
godunko/adagl	4	694	Ada	11		Ada binding for OpenGL/WebGL
PlutoLang/PlutoScript	4	32	JavaScript	11		Provides <script type="pluto"> and high-level APIs.
JonMackey/FatFsToHex	4	2428	C	10		A Mac OS X app used to create a FAT file system binary or Intel HEX file.
lukehedger/sulk	4	72	JavaScript	9		😂 Solidity compilation without the tears
ivan-m/wl-pprint-text	4	72	Haskell	7		A Wadler/Leijen Pretty Printer for Text values
ownedalaa/MonkeyScript	4	68	C#	7		
alifarazz/mipslol	4	45	C	6	yes	:moyai: A MIPS simulator with <3
bbjimmy/YAB	4	2336	C++	6		yab | yet another Basic for HAIKU
jbmulligan/quip	4	22844	C	6		QuIP - a command interpreter for Quick Image Processing
soIu/tpython	4	2623	C++	6		TPython fork from https://gitlab.com/hartsantler/tpythonpp
teo67/Radish	4	3026	C#	6		A custom language written in C#
TypeMonkey/Turtle	4	4996	Java	5		A programming language that utilizes long-term storage for space consumption
uci-plrg/zen-ids-php	4	177710	C	5		ZenIDS branch of the reference implementation of the PHP interpreter, containing hooks required by ZenIDS.
UplinkCoder/FancyPars-lite	4	3176	D	5		FancyPars - a very fast parserGenerator 
avatar13/LUA_Interpreter	4	43669	C	4		By Anatoliy, Nikita, Aleksandr
mastersneeza/TimidTheThird	4	375	Python	4		The third repo for Timid for some reason
srsly4/js-embedded-platform	4	121450	C	4		Managed Javascript interpreter for embedded platforms
Socordia-Org/Socordia	4	2184	C#	3		A new Rust, C# inspired Language for .Net
darkf/csi	4	1822	C	3	yes	Cubescript Standalone Interpreter
dlurton/Happy	4	3635	C#	3		A sophisticated embeddable template language based on Microsoft's DLR.
kobol-lang/kobol	4	1297	Kotlin	3		Kobol - A Modern COBOL-Inspired Language for the JVM
ZaneA/Quake-2	4	1468	C	3	yes	Stripped Quake 2 with embedded Chicken Scheme interpreter.
blacklensama/TVPortable	4	50017	C	2		This project aims to create a usable clone of TVP (Kirikiri) 2 base on the original TJS interpreter & Cocos2D-X, for mul
godunko/adawebui	4	149	Ada	2		Web UI on Ada
kamimura/kscm	4	1318	C	2		
mgeorg/misc	4	165	JavaScript	2		
Nelson-numerical-software/nelson	4	82447	C++	2		The Nelson Programming Language
thejoeejoee/IFJ-VUT-BIT-2017-2018	4	1242	C	2	yes	Repository for program interpret of custom language IFJ2017 written in C tested under Google tests.
verysimplyms/3dJS	4	21213	C	2		JS interpreter for 3DS, using duktape engine. Ready to homebrew just using JS?
Coordinate35/C-interpreter	4	24296	C	1		A simple C interpreter implemented by C.....
eviltester/jsp-diagrammer-cobol-interpreter	4	30495	C	1		A JSP diagrammer and Cobol interpreter for the Atari ST
iBreaker/None-Interpreter	4		C	1		个简单的解释器，为做编译器练手用的
Owanesh/unifi-eos	4	523	C	1	yes	Repository for an Operating Systems exam 📖 Università degli studi di Firenze
pde-rent/brainfuck_interpreter	4		C	0		Brainfuck interpreter, breaking down Urban Müller's esoteric language
guest271314/hermes	4	81317	C++	0		Hermes is a small and lightweight JavaScript engine optimized for running React Native on Android.
dyangelo-grullon/cs243-01	4		C	0		Interpreter
LukeXeon/Android-C-Interpreter	4	163842	C	0		A very small C interpreter, from PicoC to Android.
nmbook/ruby-concurrent-gc	4	46401	C	0		Ruby Interpreter with Concurrent GC
Raiper34/IFJ2014-public	4	3556	C	0	yes	Pascal Interpreter IFJ2014 BUT FIT.
sindresorhus/awesome	3	1564		479513		😎 Awesome lists about all kinds of interesting topics
rust-lang/rust	3	929984	Rust	114378		Empowering everyone to build reliable and efficient software.
python/cpython	3	839607	Python	73583		The Python programming language
fffaraz/awesome-cpp	3	2491		71994		A curated list of awesome C++ (or C) frameworks, libraries, resources, and shiny things. Inspired by awesome-... stuff.
typst/typst	3	140748	Rust	54582		A markup-based typesetting system that is powerful and easy to learn.
JuliaLang/julia	3	375336	Julia	48888		The Julia Programming Language
babel/babel	3	144702	TypeScript	44009		🐠 Babel is a compiler for writing next generation JavaScript.
ziglang/zig	3	379756	Zig	43220		Moved to Codeberg
ziglang/zig	3	379756	Zig	43220		Moved to Codeberg
evanw/esbuild	3	20481	Go	39954		An extremely fast bundler for the web
vlang/v	3	114016	V	37663		Simple, fast, safe, compiled language for developing maintainable software. Compiles itself in <1s with zero library dep
taichi-dev/taichi	3	60230	C++	28269		Productive, portable, and performant GPU programming in Python.
elixir-lang/elixir	3	70899	Elixir	26568		Elixir is a dynamic, functional language for building scalable and maintainable applications
tree-sitter/tree-sitter	3	22413	Rust	26033		An incremental parsing system for programming tools
microsoft/typescript-go	3	305597	Go	25753		Staging repo for development of native port of TypeScript
micropython/micropython	3	74870	C	21838		MicroPython - a lean and efficient Python implementation for microcontrollers and constrained systems
dotnet/roslyn	3	2639381	C#	20508		The Roslyn .NET compiler provides C# and Visual Basic languages with rich code analysis APIs.
crystal-lang/crystal	3	62004	Crystal	20304		The Crystal Programming Language
wenyan-lang/wenyan	3	47391	TypeScript	20255		文言文編程語言 A programming language for the ancient Chinese.
golangci/golangci-lint	3	50618	Go	19128		Fast linters runner for Go
antlr/antlr4	3	70649	Java	18932		ANTLR (ANother Tool for Language Recognition) is a powerful parser generator for reading, processing, executing, or tran
facebook/hhvm	3	868847	C++	18634		A virtual machine for executing programs written in Hack.
AssemblyScript/assemblyscript	3	167008	WebAssembly	17939		A TypeScript-like language for WebAssembly.
pyodide/pyodide	3	30662	Python	14696		Pyodide is a Python distribution for the browser and Node.js based on WebAssembly
open-policy-agent/opa	3	1918858	Go	11908		Open Policy Agent (OPA) is an open source, general-purpose policy engine.
dart-lang/sdk	3	1631975	Dart	11190		The Dart SDK, including the VM, JS and Wasm compilers, analysis, core libraries, and more.
numba/numba	3	82596	Python	11058		NumPy aware dynamic Python compiler using LLVM
odin-lang/Odin	3	573873	Odin	10908		Odin Programming Language
GoogleChromeLabs/ndb	3	730	JavaScript	10874	yes	ndb is an improved debugging experience for Node.js, enabled by Chrome DevTools
munificent/craftinginterpreters	3	23405	HTML	10862		Repository for the book "Crafting Interpreters"
cython/cython	3	80745	Cython	10779		The most widely used Python to C compiler
reasonml/reason	3	25621	OCaml	10312		Simple, fast & type safe code that leverages the JavaScript & OCaml ecosystems
leanprover/lean4	3	6142600	Lean	8330		Lean 4 programming language and theorem prover
jerryscript-project/jerryscript	3	62085	C	7402		Ultra-lightweight JavaScript engine for the Internet of Things.
rescript-lang/rescript	3	1926973	ReScript	7400		ReScript is a robustly typed language that compiles to efficient and human-readable JavaScript.
rescript-lang/rescript	3	1926973	ReScript	7400		ReScript is a robustly typed language that compiles to efficient and human-readable JavaScript.
cisco/ChezScheme	3	1422874	Scheme	7305		Chez Scheme 
unisonweb/unison	3	153730	Haskell	6658		A friendly programming language from the future
imba/imba	3	29214	JavaScript	6498		🐤 The friendly full-stack language
svaarala/duktape	3	76239	JavaScript	6207		Duktape - embeddable Javascript engine with a focus on portability and compact footprint
ponylang/ponyc	3	24042	Pony	6138		Pony is an open-source, actor-model, capabilities-secure, high performance programming language
dsherret/ts-morph	3	26950	TypeScript	6111		TypeScript Compiler API wrapper for static analysis and programmatic code changes.
red/red	3	44388	Red	6013		Red is a next-generation programming language strongly inspired by Rebol, but with a broader field of usage thanks to it
c3lang/c3c	3	42286	C3	5613		Compiler for the C3 language
ohmjs/ohm	3	27542	JavaScript	5529		A library and language for building parsers, interpreters, compilers, etc.
apache/groovy	3	249389	Java	5446		Apache Groovy: A powerful multi-faceted programming language for the JVM platform
winglang/wing	3	166577	TypeScript	5387		A programming language for the cloud ☁️ A unified programming model, combining infrastructure and runtime code into one 
benjamn/recast	3	4298	TypeScript	5247		JavaScript syntax tree transformer, nondestructive pretty-printer, and automatic source map generator
cglib/cglib	3	4944	Java	4896		cglib - Byte Code Generation Library is high level API to generate and transform Java byte code. It is used by AOP, test
google/wuffs	3	39160	C	4775		Wrangling Untrusted File Formats Safely
CanadaHonk/porffor	3	23572	JavaScript	4735		An ahead-of-time JavaScript compiler
immunant/c2rust	3	86220	Rust	4733		Migrate C code to Rust
sebastienros/jint	3	27495	C#	4661		Javascript Interpreter for .NET
dotnet/fsharp	3	550165	F#	4312		The F# compiler, F# core library, F# language service, and F# tooling integration for Visual Studio
eth-sri/lmql	3	189632	Python	4190		A language for constraint-guided and efficient LLM programming.
nvdv/vprof	3	1104	Python	3978		Visual profiler for Python
koka-lang/koka	3	72667	Koka	3938		Koka language compiler and interpreter
ballerina-platform/ballerina-lang	3	880018	Ballerina	3840		The Ballerina Programming Language
HigherOrderCO/Kind	3	36229	Haskell	3753		A modern proof language
HigherOrderCO/Kind	3	36229	Haskell	3753		A modern proof language
HigherOrderCO/Kind	3	36229	Haskell	3753		A modern proof language
kach/nearley	3	2360	JavaScript	3741		📜🔜🌲 Simple, fast, powerful parser toolkit for JavaScript.
p-org/P	3	177803	C#	3638		The P programming language.
dafny-lang/dafny	3	330927	C#	3444		Dafny is a verification-aware programming language
open-goal/jak-project	3	380125	Common Lisp	3438		Reviving the language that brought us the Jak & Daxter Series
zephir-lang/zephir	3	27126	PHP	3374		Zephir is a compiled high-level language aimed to ease the creation of C-extensions for PHP
microsoft/Power-Fx	3	89164	C#	3359		Power Fx low-code programming language
oils-for-unix/oils	3	52181	Python	3354		Oils is our upgrade path from bash to a better language and runtime.  It's also for Python and JavaScript users who avoi
inducer/pudb	3	2198	Python	3243		Full-screen console debugger for Python
konsoletyper/teavm	3	130473	Java	3062		Compiles Java bytecode to JavaScript, WebAssembly and C
FStarLang/FStar	3	825681	F*	3050		A Proof-oriented Programming Language
idris-lang/Idris2	3	137233	Idris	2994		A purely functional programming language with first class types
BayesWitnesses/m2cgen	3	1284	Python	2989		Transform ML models into a native code (Java, C, Python, Go, JavaScript, Visual Basic, C#, R, PowerShell, PHP, Dart, Has
agda/agda	3	162832	Haskell	2880		Agda is a dependently typed programming language / interactive theorem prover.
clasp-developers/clasp	3	154646	Common Lisp	2770		clasp Common Lisp environment
IronLanguages/ironpython3	3	66727	C#	2756		Implementation of Python 3.x for .NET Framework that is built on top of the Dynamic Language Runtime.
diku-dk/futhark	3	51158	Haskell	2746		:boom::computer::boom: A data-parallel functional programming language
verus-lang/verus	3	36545	Rust	2691		Verified Rust for low-level systems code
estools/escodegen	3	2747	JavaScript	2688		ECMAScript code generator
flix/flix	3	133555	Flix	2685		The Flix Programming Language
pyston/pyston	3	328927	Python	2498		(No longer maintained) A faster and highly-compatible implementation of the Python programming language.
peachpiecompiler/peachpie	3	70955	C#	2481		PeachPie - the PHP compiler and runtime for .NET and .NET Core
damonkohler/sl4a	3	309568	C	2471	yes	SL4A brings scripting languages to Android by allowing you to edit and execute scripts and interactive interpreters dire
darklang/dark	3	59097	F#	2165		Darklang main repo, including language, backend, and infra
sbcl/sbcl	3	140497	Common Lisp	2116		Mirror of Steel Bank Common Lisp (SBCL)'s official repository
Maratyszcza/PeachPy	3	1159	Python	2055		x86-64 assembler embedded in Python
chapel-lang/chapel	3	1105357	Chapel	2009		a Productive Parallel Programming Language
ValeLang/Vale	3	215949	Scala	1988		Compiler for the Vale programming language - http://vale.dev/
factor/factor	3	333006	Factor	1832		Factor programming language
metacall/core	3	24096	C	1804		MetaCall: The ultimate polyglot programming experience.
LuxLang/lux	3	52611	Emacs Lisp	1739		The Lux Programming Language
hedyorg/hedy	3	1055573	CSS	1638		Hedy is a gradual programming language to teach children programming. Gradual languages use different language levels, w
IntersectMBO/plutus	3	327375	Haskell	1636		The Plutus language implementation and tools
pharo-project/pharo	3	125348	Smalltalk	1466		Pharo is a dynamic reflective pure object-oriented language supporting live programming inspired by Smalltalk.
titzer/virgil	3	73687	Shell	1407		A fast and lightweight native programming language
objectionary/eo	3	933946	Java	1372		EOLANG, an Experimental Pure Object-Oriented Programming Language Based on 𝜑-Calculus
seanmorris/php-wasm	3	1418263	PHP	1345		PHP in Browser, powered by WebAssembly.
faylang/fay	3	2630	Haskell	1285		A proper subset of Haskell that compiles to JavaScript
leaningtech/cheerp-meta	3	207038	JavaScript	1187		Cheerp - a C/C++ compiler for Web applications - compiles to WebAssembly and JavaScript
lihaoyi/Metascala	3	2395	Scala	1184		A JVM written in Scala
brownplt/pyret-lang	3	651570	JavaScript	1127		The Pyret language.
protofire/solhint	3	4208	JavaScript	1126		Solhint is an open-source project to provide a linting utility for Solidity code.
freebasic/fbc	3	67757	FreeBASIC	1096		FreeBASIC is a completely free, open-source, multi-platform BASIC compiler, with syntax similar to MS-QuickBASIC, that a
Mercury-Language/mercury	3	154438	Mercury	1059		The Mercury logic programming system.
vekatze/neut	3	41676	Haskell	1010		A functional programming language with static memory management
oraoto/pib	3	69600	PHP	988		PHP in Browser (powered by WebAssembly)
pallets-eco/flask-debugtoolbar	3	1433	JavaScript	979		A toolbar overlay for debugging Flask applications
mrkkrp/megaparsec	3	2678	Haskell	972		Industrial-strength monadic parser combinator library
mrakgr/The-Spiral-Language	3	55742	Python	943		Functional language with intensional polymorphism and first-class staging.
mirkosertic/Bytecoder	3	2445556	Java	940		Framework to interpret and transpile JVM bytecode to JavaScript, OpenCL or WebAssembly.
clio-lang/clio	3	28038	JavaScript	932		Clio is a functional, parallel, distributed programming language.
boo-lang/boo	3	22905	C#	908		The Boo Programming Language.
HaxeFoundation/hashlink	3	28390	C	889		A virtual machine for Haxe
mirah/mirah	3	56080	HTML	864		The Mirah Programming Language
ccxvii/mujs	3	1003		863		https://codeberg.org/ccxvii/mujs
urweb/urweb	3	54405	Standard ML	843		The Ur/Web programming language
magmide/magmide	3	40474	Rocq Prover	836		A dependently-typed proof language intended to make provably correct bare metal code possible for working software engin
tcltk/tcl	3	587092	C	813		The Tcl Core. (Mirror of core.tcl-lang.org) 
ryangjchandler/pxp	3	3080	Rust	803	yes	An early-stage project to develop high-performance tools for PHP developers.
influxdata/flux	3	75697	FLUX	798		Flux is a lightweight scripting language for querying databases (like InfluxDB) and working with data. It's part of Infl
breck7/pldb	3	791253	JavaScript	785		PLDB: a Programming Language DataBase
Cyfrin/aderyn	3	36845	Rust	782		Solidity Static Analyzer that easily integrates into your editor
Rick-Lang/rickroll-lang	3	44223	Python	763		The Rick Roll programming language is a rickroll based, process oriented, dynamic, strong, esoteric programming language
charles-river-analytics/figaro	3	66993	HTML	756		Figaro Programming Language and Core Libraries
jsoftware/jsource	3	121087	C	734		J engine source mirror
cmajor-lang/cmajor	3	81427	C	729		The Cmajor public repository
google/edward2	3	41412	Jupyter Notebook	709		A simple probabilistic programming language.
cotowali/cotowali	3	3678	V	617	yes	A statically typed scripting language that transpile into POSIX sh
Kotlin/kotlin-wasm-examples	3	20040	HTML	585		Examples with Kotlin/Wasm
area9innovation/flow9	3	2015245	C	572		Platform for safe, easy and productive programming of complex, multi-platform apps with a modern user interface
wyvernlang/wyvern	3	45698	Java	565		The Wyvern programming language.
second-state/wasmedge-quickjs	3	67715	JavaScript	561		A high-performance, secure, extensible, and OCI-complaint JavaScript runtime for WasmEdge.
iczelia/malbolge-lisp	3	95576	TeX	553		A lightweight (350MB) Lisp interpreter in Malbolge Unshackled, often dubbed the hardest turing complete programming lang
haskell/attoparsec	3	1148	Haskell	530		A fast Haskell library for parsing ByteStrings
bedatadriven/renjin	3	43501	R	517		JVM-based interpreter for the R language for the statistical analysis.
dylan-lang/opendylan	3	120519	Dylan	502		Open Dylan compiler and IDE
mila-iqia/myia	3	3932	Python	462		Myia prototyping
usethesource/rascal	3	73447	Java	459		The implementation of the Rascal meta-programming language (including interpreter, type checker, parser generator, compi
pascalabcnet/pascalabcnet	3	834248	C#	448		The new generation Pascal programming language for .NET
effekt-lang/effekt	3	24249	Scala	446		A language with lexical effect handlers and lightweight effect polymorphism
ThomasMertes/seed7	3	27191	C	446		Source code of Seed7
Manistein/dummylua-tutorial	3	21332	C	439		这是一个仿制lua解释器的项目，我希望通过逐步实现lua解释器的各个部分，更加深刻地掌握lua的基本结构和运作原理。
kxxt/tracexec	3	30984	Rust	435		Tracer for execve{,at} and pre-exec behavior, launcher for debuggers.
processing/processing4	3	160779	Java	428		Source code for Processing, the software sketchbook and Java-based programming language for students, artists, designers
Paris/IronAHK	3	3616	C#	415	yes	Cross platform .NET rewrite of the popular AutoHotkey scripting language for desktop automation.
unoplatform/calculator	3	37391	C#	413		Uno Calculator: A simple yet powerful iOS/Android/WebAssembly/Linux C# port of the calculator that ships with Windows
ecere/ecere-sdk	3	123766	eC	398		Ecere SDK (eC Language, Ecere IDE, Cross platform GUI, graphics, and more) — http://ec-lang.org — 
ehatti/peridot	3	1197	Haskell	394	yes	A fast functional language based on two level type theory
jonromero/music-as-data	3	26520	Clojure	349		A Live Programming language for music
MichaReiser/speedy.js	3	4321	TypeScript	343	yes	Accelerate JavaScript Applications by Compiling to WebAssembly
h3rald/min	3	57147	Nim	341	yes	A small but practical concatenative programming language and shell
haskell/alex	3	4737	Haskell	323		A lexical analyser generator for Haskell
ekmett/trifecta	3	1038	Haskell	304		Parser combinators with highlighting, slicing, layout, literate comments, Clang-style diagnostics and the kitchen sink
